year,display_country,departures
2014-15,China,23220
2014-15,UK,24520
2014-15,New Zealand,22370
2014-15,India,11410
2014-15,USA,9170
2014-15,Korea South,9400
2014-15,Malaysia,7220
2014-15,Japan,5070
2014-15,Indonesia,4860
2014-15,Philippines,3350
2015-16,China,24710
2015-16,UK,23640
2015-16,New Zealand,22740
2015-16,India,11160
2015-16,USA,9920
2015-16,Korea South,9030
2015-16,Malaysia,7160
2015-16,Japan,5350
2015-16,Indonesia,4500
2015-16,Philippines,3430
2016-17,China,27740
2016-17,UK,22620
2016-17,New Zealand,20820
2016-17,India,10580
2016-17,USA,9130
2016-17,Korea South,8890
2016-17,Malaysia,7960
2016-17,Japan,5450
2016-17,Indonesia,4470
2016-17,Philippines,3530
2017-18,China,37710
2017-18,UK,21920
2017-18,New Zealand,18270
2017-18,India,11580
2017-18,USA,10020
2017-18,Korea South,9420
2017-18,Malaysia,9460
2017-18,Japan,6350
2017-18,Indonesia,4450
2017-18,Philippines,3750
2018-19,China,51640
2018-19,UK,21860
2018-19,New Zealand,17630
2018-19,India,13160
2018-19,USA,10040
2018-19,Korea South,10190
2018-19,Malaysia,10790
2018-19,Japan,6270
2018-19,Indonesia,4870
2018-19,Philippines,4380
2019-20,China,78740
2019-20,UK,17000
2019-20,New Zealand,16010
2019-20,India,19020
2019-20,USA,8500
2019-20,Korea South,10910
2019-20,Malaysia,9030
2019-20,Japan,6380
2019-20,Indonesia,5120
2019-20,Philippines,4110
2020-21,China,59540
2020-21,UK,10810
2020-21,New Zealand,14150
2020-21,India,21830
2020-21,USA,4660
2020-21,Korea South,5850
2020-21,Malaysia,6430
2020-21,Japan,3060
2020-21,Indonesia,4030
2020-21,Philippines,2830
2021-22,China,29180
2021-22,UK,14590
2021-22,New Zealand,10900
2021-22,India,20720
2021-22,USA,5260
2021-22,Korea South,4310
2021-22,Malaysia,4430
2021-22,Japan,2640
2021-22,Indonesia,3330
2021-22,Philippines,4400
2022-23,China,22650
2022-23,UK,12070
2022-23,New Zealand,11920
2022-23,India,13080
2022-23,USA,4340
2022-23,Korea South,3450
2022-23,Malaysia,4370
2022-23,Japan,2670
2022-23,Indonesia,2870
2022-23,Philippines,3790
2023-24,China,27830
2023-24,UK,13990
2023-24,New Zealand,10690
2023-24,India,15790
2023-24,USA,4670
2023-24,Korea South,5290
2023-24,Malaysia,4310
2023-24,Japan,4980
2023-24,Indonesia,3660
2023-24,Philippines,4450
2024-25,China,34700
2024-25,UK,14550
2024-25,New Zealand,10730
2024-25,India,17130
2024-25,USA,4350
2024-25,Korea South,6110
2024-25,Malaysia,4620
2024-25,Japan,6500
2024-25,Indonesia,4850
2024-25,Philippines,6120